location_address_streetAddress,location_address_city,location_position_latitude,location_position_longitude,location_namedAreas_0,location_region_municipalityName,location_region_countyName,listPrice,livingArea,plotArea,source_name,source_id,source_type,source_url,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,additionalArea,rent
Arvslindan 64,,60.53679,15.157167,Gagnef,Gagnef,Dalarnas län,550000,30.0,2325.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,1.0,2018-07-23 22:14:30,1966.0,Villa,3204203,2018-08-15,490000,bid,https://www.booli.se/annons/3204203,,
Högsvevägen 100,Mockfjärd,60.51170618,14.96747464,Mockfjärd,Gagnef,Dalarnas län,1700000,88.0,3367.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2018-01-30 16:05:06,1955.0,Villa,3080177,2018-06-28,1350000,bid,https://www.booli.se/annons/3080177,88.0,
Moje 595,Gagnef,60.611446,15.089305,Gagnef,Gagnef,Dalarnas län,1495000,65.0,918.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2018-05-11 04:59:08,1968.0,Villa,3125388,2018-05-29,2075000,bid,https://www.booli.se/annons/3125388,,
Djurmovägen 12,Djurmo,60.549645,15.180092,Djurmo,Gagnef,Dalarnas län,1475000,65.0,725.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2018-04-28 08:23:50,1909.0,Villa,3099764,2018-05-12,1615000,bid,https://www.booli.se/annons/3099764,,
Ersholsvägen 58,Mockfjärd,60.486884,14.96166,Mockfjärd,Gagnef,Dalarnas län,800000,70.0,780.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2017-09-15 13:25:50,1909.0,Villa,2410495,2018-03-06,675000,bid,https://www.booli.se/annons/2410495,35.0,
Högberget 62,Mockfjärd,60.505328,14.941702,Mockfjärd,Gagnef,Dalarnas län,1750000,140.0,2054.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2017-10-25 03:18:24,2010.0,Villa,3024704,2018-01-20,1450000,bid,https://www.booli.se/annons/3024704,,
Björbovägen 120,Björbo,60.46356063,14.6947853,Björbo,Gagnef,Dalarnas län,1490000,155.0,,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2017-07-07 22:42:25,1951.0,Villa,2366069,2018-01-14,1350000,bid,https://www.booli.se/annons/2366069,60.0,
Djurmo 27,Djurmo,60.551732,15.183914,Djurmo,Gagnef,Dalarnas län,1800000,150.0,3542.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2017-05-11 04:01:32,1909.0,Villa,2321948,2017-12-29,1680000,bid,https://www.booli.se/annons/2321948,,
Hagenvägen 5,,60.532638,15.16039,78560,Gagnef,Dalarnas län,1175000,100.0,3542.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2017-08-17 00:11:48,1909.0,Villa,2385845,2017-11-24,800000,bid,https://www.booli.se/annons/2385845,5.0,
Tegelbruksvägen 24,Gagnef,60.596378,15.078746,Gagnef,Gagnef,Dalarnas län,890000,115.0,891.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2017-08-01 15:07:08,1934.0,Villa,2375792,2017-10-12,810000,bid,https://www.booli.se/annons/2375792,115.0,
Fix Gattu 13,Djurmo,60.548364,15.184405,Djurmo,Gagnef,Dalarnas län,975000,105.0,1045.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2017-09-05 19:58:29,1909.0,Villa,2402189,2017-10-10,1350000,bid,https://www.booli.se/annons/2402189,,
Präståkersvägen 11B,Mockfjärd,60.5026404,14.9730418,Mockfjärd,Gagnef,Dalarnas län,850000,180.0,1801.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2017-05-25 18:19:05,1960.0,Villa,2337662,2017-08-23,900000,bid,https://www.booli.se/annons/2337662,105.0,
Holsåkersvägen 6,Floda,60.505736,14.792186,Dala-Floda,Gagnef,Dalarnas län,2800000,200.0,968.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,7.0,2017-06-14 04:51:44,1929.0,Villa,2352617,2017-07-07,3000000,bid,https://www.booli.se/annons/2352617,,
Tallbacksvägen,Gagnef,60.58993458,15.08079169,Gagnef,Gagnef,Dalarnas län,1650000,99.0,1325.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2017-05-24 13:07:44,1963.0,Villa,2336334,2017-06-29,1550000,bid,https://www.booli.se/annons/2336334,77.0,
Gröntuv,,60.58428723,15.13581563,Djurås,Gagnef,Dalarnas län,1495000,217.0,5062.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2017-06-02 10:44:25,1926.0,Villa,2343923,2017-06-25,1943000,bid,https://www.booli.se/annons/2343923,80.0,
Åvägen,Djurås,60.55527991,15.13193207,Djurås,Gagnef,Dalarnas län,1750000,97.0,1020.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2017-05-13 22:23:02,1972.0,Villa,2291578,2017-06-22,1700000,bid,https://www.booli.se/annons/2291578,131.0,
Österfors 68,,60.595662,15.024191,78530,Gagnef,Dalarnas län,2485000,160.0,1045.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2017-05-24 16:13:00,1920.0,Villa,2336507,2017-06-13,2860000,bid,https://www.booli.se/annons/2336507,,
Tallbacksvägen 15,Gagnef,60.591522,15.076343,Tallbacken,Gagnef,Dalarnas län,1850000,160.0,2418.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2017-05-03 18:08:30,1897.0,Villa,2298076,2017-06-01,2210000,bid,https://www.booli.se/annons/2298076,113.0,
Djörmo - Djörmovägen 16,,60.54860475,15.15964426,Djurås,Gagnef,Dalarnas län,3950000,156.0,2243.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2017-04-21 20:29:44,2008.0,Villa,2306687,2017-05-12,4070000,bid,https://www.booli.se/annons/2306687,9.0,
Täktholvägen 5,Bäsna,60.536394,15.204366,Bäsna,Gagnef,Dalarnas län,1495000,125.0,1120.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2017-01-24 12:14:58,1971.0,Villa,2238165,2017-04-11,1300000,bid,https://www.booli.se/annons/2238165,26.0,
Tegelbruksvägen 7,Gagnef,60.59246329,15.07370928,Gagnef,Gagnef,Dalarnas län,375000,85.0,500.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,1.0,2016-11-11 15:29:55,,Villa,2214848,2017-03-20,200000,bid,https://www.booli.se/annons/2214848,,
Lindbyvägen 4,Mockfjärd,60.50454352,14.96451181,Mockfjärd,Gagnef,Dalarnas län,2150000,215.0,3624.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2017-02-21 23:02:30,1925.0,Villa,2259086,2017-02-24,2150000,bid,https://www.booli.se/annons/2259086,,
